Gene	GSE59071 p (Corr)  [UC]vs [Not IBD]	GSE59071 LOG2FC ([UC] vs [Not IBD]) 	GSE59071 [UC] vs [Not IBD] 
CXCL8	7.66E-12	3.33936527428352	Up
NOS2	1.48E-14	3.36176388817887	Up
AQP9	9.88E-11	3.44999200011369	Up
SERPINB5	1.84E-13	3.50619194825851	Up
LCN2	3.42E-18	3.5377284280203	Up
CXCL1	1.61E-24	3.61940057823057	Up
IL1B	3.81E-12	3.65250391773365	Up
TCN1	5.68E-15	3.65707234811107	Up
KYNU	6.99E-24	3.66852480909347	Up
REG3A	4.70E-07	3.67838425097016	Up
SERPINB3	5.83E-07	3.71769631675551	Up
ABCA12	3.64E-17	3.75541720486183	Up
REG1B	1.78E-07	3.94753830337685	Up
VSIG1	3.57E-15	3.96287366956004	Up
MMP7	1.14E-14	3.97161398178829	Up
VNN1	7.95E-16	4.04481237994905	Up
CHI3L1	5.42E-18	4.13814396565557	Up
MMP1	1.62E-12	4.18938964343989	Up
TNIP3	7.26E-19	4.31437130961658	Up
S100A8	5.65E-14	4.32151040233726	Up
IDO1	2.42E-17	4.32424999104184	Up
DUOX2	8.39E-15	4.35695629554455	Up
DUOXA2	3.57E-18	4.42850489037099	Up
REG1A	5.28E-11	4.51217142418199	Up
MMP3	3.63E-15	5.02972474697484	Up
SLC6A14	1.09E-24	5.71839259097018	Up
