Gene	p (Corr)  [UC]vs [Not IBD]	FC ([UC] vs [Not IBD]) 	[UC] vs [Not IBD] 
ZNF580	9.76E-15	1.581811	up
HOXD4	2.10E-04	1.5822088	up
TRIM47	6.94E-14	1.5824083	up
TP53TG5	3.89E-06	1.5825295	up
LYPD3	2.20E-06	1.5827801	up
PFAS	5.87E-09	1.5838604	up
CLDND1	3.02E-16	1.5839828	up
EFHD1	1.46E-07	1.5844636	up
SYCE2	3.80E-04	1.5845509	up
TNFRSF25	1.32E-06	1.5846248	up
USP15	5.34E-16	1.5846364	up
DGCR6	3.72E-08	1.5848107	up
CD101	2.86E-05	1.585182	up
RGS12	5.69E-09	1.5851827	up
TEAD2	7.36E-15	1.5853565	up
CYFIP2	6.36E-06	1.5854073	up
ZBTB17	7.88E-15	1.5859857	up
PREB	1.86E-21	1.5860386	up
SF3B1	2.60E-16	1.5867293	up
MON2	4.64E-10	1.586936	up
RBP1	5.41E-09	1.5870376	up
ZFAT	6.30E-07	1.5872477	up
SLC38A6	4.97E-13	1.587902	up
C16orf59	1.67E-07	1.5880327	up
IKBKG	3.49E-14	1.5881864	up
KLHDC8B	4.27E-10	1.5882272	up
ULK1	2.85E-09	1.5882528	up
VCPKMT	2.21E-16	1.5890427	up
AEN	1.40E-09	1.5897914	up
ATF5	2.86E-13	1.5898819	up
DRC3	1.06E-05	1.5899411	up
TCERG1	1.14E-10	1.5901396	up
FAM122C	2.03E-10	1.5904495	up
DDX5	3.43E-14	1.5905591	up
PDGFC	1.12E-08	1.5909945	up
NFKBIE	2.07E-10	1.5919185	up
KATNAL1	4.99E-07	1.5923327	up
MFSD7	2.74E-13	1.592427	up
CELSR1	2.55E-06	1.5926163	up
ARL17A	7.23E-07	1.5927505	up
GALNT18	3.52E-07	1.59289	up
AKNA	1.12E-09	1.593028	up
LRRC27	8.19E-12	1.5932249	up
STK17A	7.06E-10	1.5935616	up
GPC2	3.86E-05	1.5938412	up
TBC1D8	2.85E-09	1.5943365	up
PITX1	2.23E-07	1.59446	up
QPCTL	3.48E-10	1.594521	up
AC013461.1	1.65E-06	1.5946852	up
IFT80	2.88E-09	1.5949748	up
MERTK	2.45E-07	1.5950035	up
VSTM4	3.36E-06	1.5953218	up
GLA	5.37E-13	1.5954304	up
STAT3	4.65E-06	1.5954939	up
NNAT	2.00E-04	1.5956446	up
SRRT	8.57E-15	1.5957066	up
ASCC3	2.00E-11	1.5965447	up
MAP4K2	1.47E-07	1.5969611	up
PPP1R3F	2.52E-08	1.5980213	up
SETD5	2.05E-06	1.5984286	up
DDX51	1.26E-12	1.5988643	up
KCNMB3	2.44E-07	1.5991005	up
SETX	2.34E-10	1.5991325	up
ADAM23	2.30E-04	1.5996281	up
SCD5	1.76E-09	1.6002519	up
CSNK1G2	3.90E-19	1.6010525	up
RALGPS2	3.56E-06	1.6021918	up
BBIP1	9.53E-21	1.602529	up
ARL11	1.49E-04	1.6025935	up
TPBG	1.90E-10	1.6027346	up
NOL3	3.52E-13	1.6030017	up
DLGAP4	7.58E-12	1.6034409	up
KAT2A	1.53E-15	1.6035923	up
SYNGR3	2.87E-05	1.6036571	up
APOBEC3D	2.72E-09	1.6038454	up
KCTD7	7.82E-10	1.6038551	up
PLK4	2.00E-08	1.603858	up
SKA1	6.69E-07	1.6039871	up
SAMD4A	1.68E-05	1.6050478	up
CNTRL	5.38E-08	1.6052407	up
MRAP2	6.73E-05	1.6052718	up
CRYBG3	4.93E-06	1.6053257	up
WDR35	1.97E-07	1.6058038	up
NEURL4	1.49E-10	1.6058848	up
STRADA	9.72E-14	1.6059439	up
USP18	7.25E-08	1.6068301	up
RBM39	2.17E-18	1.6075761	up
ACE	3.43E-05	1.6077014	up
ZNF783	4.28E-12	1.6077982	up
RRAGD	2.88E-09	1.6078225	up
MS4A6A	1.83E-10	1.6080952	up
THOC1	1.13E-15	1.6083952	up
TBC1D2B	1.49E-07	1.6086984	up
SLC4A7	1.32E-05	1.6096668	up
MOV10	4.72E-15	1.6099721	up
BRD8	3.45E-12	1.6101967	up
CXCL14	1.41E-05	1.6103979	up
CKLF	6.65E-15	1.6105161	up
RWDD2A	4.19E-19	1.6113737	up
GIGYF1	3.97E-09	1.611596	up
PRPF38B	2.36E-10	1.6116928	up
APOBEC3F	1.67E-10	1.611879	up
UHRF2	1.17E-11	1.6119492	up
SPC24	2.22E-07	1.6120057	up
ACIN1	4.13E-11	1.6120555	up
UNC80	1.32E-09	1.6120757	up
ZSWIM4	1.12E-07	1.6131119	up
RAI1	6.35E-10	1.6137407	up
NAPSA	1.50E-05	1.614044	up
SRSF11	1.24E-09	1.614108	up
ANKRD33B	6.21E-04	1.6145368	up
CCNE1	6.80E-15	1.6146055	up
RBM17	6.37E-19	1.6146421	up
PRKCQ	4.46E-08	1.6160139	up
CAPN10	3.25E-18	1.6161567	up
NRD1	5.51E-20	1.6167334	up
ZNF10	4.27E-08	1.6174648	up
HOXB8	4.97E-06	1.6175011	up
USP20	1.19E-12	1.6177211	up
GNB1L	1.66E-14	1.6190147	up
CD163L1	5.94E-06	1.6192439	up
UCHL1	2.52E-04	1.6195922	up
AMDHD2	7.92E-13	1.6196921	up
PODNL1	1.43E-12	1.6203964	up
CRYAB	2.60E-05	1.6205891	up
NINJ2	5.09E-13	1.6216111	up
GNG7	9.49E-09	1.6220124	up
CC2D1B	3.55E-12	1.6221117	up
FZD4	4.92E-08	1.622833	up
TRIM61	1.53E-05	1.6231701	up
RABL2A	2.41E-10	1.6232114	up
METTL1	3.58E-15	1.6238172	up
HSD17B14	1.87E-08	1.6242006	up
HECTD4	2.04E-12	1.6249564	up
TIGD1	1.55E-11	1.6261669	up
PYROXD2	1.96E-07	1.627076	up
SPRY4	3.26E-05	1.6273202	up
KCNMB1	8.15E-07	1.627526	up
ACADVL	3.73E-13	1.6294837	up
DACH1	9.46E-07	1.6300277	up
CBWD3	1.52E-11	1.6301055	up
ADAMTSL5	1.58E-07	1.6301253	up
TMEM234	4.87E-19	1.6303983	up
PKNOX2	4.55E-07	1.631461	up
MAF	1.48E-10	1.6317317	up
FAM117A	3.06E-11	1.6319876	up
ERV3-1	5.79E-07	1.6320162	up
ALDH4A1	1.38E-11	1.6320252	up
TMEM150C	1.08E-08	1.6323465	up
SLX4	1.08E-08	1.6327703	up
KIF3A	8.90E-07	1.632798	up
AP5Z1	9.66E-18	1.6336757	up
C8orf44	3.52E-09	1.6337305	up
TDRP	1.09E-05	1.6337476	up
SPDL1	4.47E-09	1.6340765	up
RNF31	2.86E-17	1.6343011	up
OLFML2A	1.89E-04	1.635739	up
CPNE1	6.25E-17	1.6365494	up
ARAP2	7.95E-08	1.6369239	up
SLC17A7	4.86E-04	1.6371145	up
FIBCD1	3.38E-04	1.6371148	up
FAM72D	1.28E-05	1.6382672	up
PTK7	2.13E-10	1.6383423	up
CKAP2L	1.35E-06	1.6384205	up
CDCA2	8.84E-07	1.6386986	up
GALK1	1.01E-19	1.6388347	up
ANKRD6	1.07E-07	1.639203	up
NDOR1	8.16E-11	1.6392243	up
MIS18BP1	2.03E-10	1.6397343	up
OBSL1	1.20E-10	1.640164	up
NRIP2	5.65E-08	1.640832	up
CCNF	1.08E-08	1.640896	up
ADPGK	1.81E-16	1.6409671	up
CDK11A	7.50E-09	1.6413977	up
C3orf18	1.51E-10	1.6416743	up
PSMC3IP	2.04E-12	1.6418287	up
MAL	1.25E-04	1.6418427	up
NUAK1	1.20E-06	1.641858	up
TMEM265	1.97E-12	1.6422641	up
TOX2	1.07E-07	1.6422697	up
HYAL2	1.39E-11	1.6424598	up
TSPAN2	1.35E-05	1.6429068	up
LRRC34	8.58E-07	1.6430668	up
TRAFD1	3.07E-11	1.6432611	up
PRKDC	2.26E-11	1.64363	up
C17orf51	1.20E-07	1.6447849	up
PMS1	2.85E-16	1.6450603	up
RPS10-NUDT3	3.67E-11	1.6462665	up
FAM160B1	9.15E-12	1.6470904	up
EZH1	2.87E-11	1.647635	up
ADGRL2	1.67E-06	1.6485257	up
LSS	2.51E-07	1.6508335	up
CCDC14	7.82E-08	1.6511061	up
FAXDC2	5.08E-05	1.651198	up
NAT9	1.39E-23	1.6518445	up
TNS1	1.80E-04	1.652225	up
ANAPC2	1.92E-13	1.6527727	up
SDS	4.46E-04	1.6530333	up
TTC39C	5.79E-14	1.6533508	up
LAP3	1.54E-08	1.6536802	up
OLFML1	6.12E-08	1.6545277	up
C11orf95	2.94E-09	1.6546715	up
INTS3	2.29E-12	1.6546745	up
SLC39A10	2.39E-07	1.6550179	up
AMOTL2	5.91E-08	1.6556993	up
C5	2.91E-07	1.655709	up
TCEA2	9.97E-14	1.6577511	up
HIST4H4	1.45E-04	1.6579866	up
KRT15	7.32E-06	1.6582845	up
IGHMBP2	5.56E-12	1.6587808	up
NINJ1	1.46E-12	1.6592247	up
GTPBP1	1.78E-08	1.6595962	up
POLI	4.86E-10	1.659874	up
DNAJC24	7.38E-09	1.6600885	up
SLC27A1	5.82E-13	1.6610239	up
SYT15	5.01E-08	1.6615028	up
SLC12A6	2.05E-05	1.6623013	up
PHF21A	3.75E-11	1.6625513	up
PAPD7	2.98E-10	1.6626345	up
HS3ST1	3.78E-07	1.662806	up
HELLS	2.87E-11	1.6633308	up
C2orf70	3.16E-05	1.664802	up
SLC19A1	3.33E-09	1.6650821	up
PGBD1	5.84E-17	1.6652533	up
IKZF4	2.79E-07	1.6655068	up
AL023875.1	2.23E-05	1.6662806	up
ELMO2	8.78E-16	1.6679267	up
CHST12	3.67E-18	1.6681876	up
ADGRL3	9.03E-06	1.668455	up
DONSON	1.21E-16	1.6689031	up
DGKA	2.71E-13	1.6689652	up
ZBTB25	1.03E-09	1.6691545	up
LRP1	5.05E-08	1.6691984	up
CENPK	1.06E-08	1.669749	up
FAM83D	1.16E-07	1.669954	up
LRRC14	1.19E-15	1.6706698	up
CEP72	1.31E-09	1.6707709	up
HNRNPDL	4.67E-18	1.6711779	up
GPRASP1	7.25E-06	1.6718209	up
RBP7	3.64E-07	1.671892	up
MS4A4A	1.90E-08	1.6723549	up
CA5B	1.99E-07	1.6726258	up
SUSD2	1.25E-04	1.673135	up
ASXL1	2.85E-13	1.673257	up
CEP95	1.59E-13	1.6733361	up
NCDN	1.64E-11	1.673736	up
MITF	1.61E-09	1.6743636	up
FRMD4A	8.18E-10	1.6762966	up
LYSMD2	7.54E-17	1.6763334	up
FLYWCH1	5.16E-09	1.6766199	up
PHYHD1	9.84E-11	1.6767285	up
CAMKK1	3.88E-15	1.677257	up
HIST2H2AC	7.32E-06	1.6784627	up
RASGEF1B	4.76E-11	1.6784672	up
TAF1D	3.30E-21	1.6791401	up
POM121L7	4.82E-07	1.6792595	up
C4orf32	4.57E-14	1.6801336	up
KLC2	1.24E-13	1.680429	up
NOCT	1.74E-05	1.6807085	up
CENPA	4.60E-10	1.6819832	up
C18orf54	7.82E-08	1.6822083	up
ZNF335	3.85E-18	1.6827807	up
CDKL3	2.02E-11	1.6840783	up
CCDC142	8.62E-11	1.6846417	up
CKLF-CMTM1	3.96E-05	1.6846975	up
LRRC8E	4.73E-05	1.6861696	up
KLRF1	6.50E-07	1.6861719	up
TBCD	5.05E-15	1.6863599	up
TRMU	6.75E-18	1.6866771	up
MAN1C1	4.05E-10	1.6884391	up
RRAD	3.00E-05	1.6886588	up
DNA2	1.21E-07	1.688843	up
EMILIN2	8.65E-17	1.6889586	up
C8orf88	1.90E-08	1.6892346	up
ZFP36L1	5.52E-09	1.6896323	up
MDN1	6.41E-12	1.6909137	up
SKAP1	4.81E-08	1.6914523	up
CD1D	4.84E-13	1.6935866	up
QRICH2	3.65E-10	1.6939989	up
PPP1R3E	1.07E-12	1.6941113	up
HSPBAP1	2.10E-18	1.6946162	up
ZNF300	7.50E-11	1.694663	up
HOMER2	2.08E-08	1.6948303	up
QSOX2	3.66E-11	1.695322	up
MDM1	1.23E-12	1.6957887	up
ATAT1	1.53E-13	1.6965685	up
SON	4.29E-14	1.6965895	up
CDKN2A	1.15E-05	1.6977956	up
COX7A1	1.23E-08	1.6983359	up
DDX39A	2.54E-22	1.6985377	up
RP3-382I10.7	8.04E-06	1.698698	up
PAOX	2.72E-14	1.6988629	up
SRGAP3	4.96E-08	1.6989305	up
ORMDL1	1.58E-25	1.6995593	up
NRXN3	2.06E-05	1.7010952	up
DACT1	5.93E-08	1.7011535	up
AMPD3	2.39E-11	1.701224	up
AURKB	6.88E-11	1.7028359	up
MDFIC	1.18E-10	1.7028964	up
DESI1	8.25E-24	1.7036629	up
GRK4	2.22E-11	1.704128	up
PDLIM3	2.65E-09	1.705151	up
FTSJ1	6.87E-24	1.7056178	up
ODF2	3.47E-12	1.7058296	up
ATP6V1E2	2.71E-12	1.7061427	up
TCHP	1.43E-09	1.7071075	up
FBLN7	2.46E-06	1.7074561	up
GRAP2	2.02E-07	1.7079165	up
FGF11	1.78E-06	1.7080393	up
C14orf79	1.84E-14	1.7090777	up
TTLL7	2.65E-06	1.7092017	up
OTUD3	2.42E-08	1.7097608	up
NPC1	7.23E-11	1.7103813	up
PGS1	1.78E-15	1.7106246	up
GPR55	5.44E-08	1.7106972	up
PPRC1	5.37E-14	1.7116911	up
SEPT5	1.53E-09	1.71284	up
OASL	2.23E-05	1.7133434	up
CENPI	8.77E-07	1.7140754	up
CEP83	9.58E-12	1.7145559	up
ATP1B2	2.53E-05	1.7146695	up
CDCA3	9.40E-12	1.7149147	up
USF1	1.22E-29	1.7149867	up
PDGFRL	1.96E-05	1.7159058	up
PTPRU	8.85E-06	1.7162104	up
SQLE	1.35E-06	1.7170904	up
LAMA3	1.56E-04	1.7175899	up
CEP97	8.59E-09	1.7180059	up
MTA1	8.36E-14	1.7188658	up
LMBR1L	9.05E-17	1.719147	up
GAS7	2.09E-07	1.720396	up
XRRA1	4.36E-06	1.7206589	up
TLN1	3.39E-11	1.7213224	up
KMT2B	2.43E-16	1.7214448	up
CACHD1	3.53E-08	1.7214516	up
GIPC3	1.64E-07	1.7214723	up
RAB36	2.17E-09	1.7218976	up
DAPK1	9.53E-10	1.7219456	up
VPS9D1	7.39E-15	1.7220186	up
IFFO2	1.12E-07	1.7224067	up
INPP5B	9.23E-11	1.7224128	up
NOMO3	6.46E-07	1.722424	up
ZNF536	2.43E-07	1.7224654	up
C1QTNF3	2.67E-09	1.7228589	up
C1QTNF6	1.49E-14	1.7229768	up
MAPK10	3.91E-11	1.723411	up
STX16	5.47E-14	1.7238741	up
SMG9	6.29E-19	1.7240533	up
PRICKLE1	8.78E-08	1.7241409	up
NPEPL1	2.51E-21	1.7252687	up
ZNF519	1.20E-10	1.725481	up
FAM110A	2.71E-18	1.727028	up
APOE	8.07E-09	1.7277542	up
ERO1B	8.90E-14	1.727939	up
PTPRE	5.36E-10	1.728173	up
CHRM3	6.16E-05	1.7285981	up
CCDC18	1.20E-10	1.7286456	up
RUBCN	4.01E-11	1.7303816	up
JAG2	3.81E-07	1.7307478	up
ARSG	1.03E-15	1.7310847	up
FAM216A	5.47E-15	1.731777	up
CASC5	7.37E-08	1.7318991	up
C17orf67	1.89E-11	1.7326032	up
CCDC57	5.15E-27	1.7333721	up
ITGA7	1.35E-08	1.7348	up
TGFB1I1	3.10E-13	1.7354271	up
METTL3	2.05E-19	1.7357153	up
MYBBP1A	6.12E-15	1.7363828	up
COLEC11	1.46E-05	1.7369475	up
IFI27L2	4.26E-11	1.7370027	up
NPIPB11	1.46E-06	1.7372751	up
ADCY3	5.93E-11	1.7374957	up
VAT1L	6.44E-09	1.7374995	up
MASP2	2.83E-05	1.739585	up
GATA2	9.55E-06	1.7407217	up
EOGT	3.36E-12	1.7414049	up
SLC6A7	1.84E-04	1.7415175	up
DDX17	3.93E-14	1.7415506	up
AP1G2	3.27E-18	1.7416334	up
AP4B1	8.67E-17	1.7416341	up
KIAA1524	1.40E-07	1.7417439	up
RHBDF1	8.36E-17	1.7423991	up
SKIV2L	5.76E-18	1.7428243	up
FHL1	2.28E-09	1.7435071	up
RASSF1	3.63E-27	1.7435265	up
ASB2	5.93E-10	1.7437032	up
CIT	2.72E-06	1.744784	up
PBX2	9.79E-15	1.7448248	up
TGM1	1.19E-05	1.7455875	up
PPP2R5B	5.17E-13	1.7457651	up
AMDHD1	3.11E-06	1.7459773	up
PRR7	5.95E-13	1.7463157	up
KIF7	1.59E-10	1.7465837	up
LRP5L	4.58E-12	1.7470888	up
ADAP2	1.48E-12	1.7478787	up
KIAA0930	8.76E-22	1.7481754	up
ANKRD29	1.57E-04	1.7492031	up
PALD1	1.79E-09	1.7497383	up
PKD1	2.57E-10	1.7499459	up
FBXL7	4.36E-11	1.750549	up
TP53INP1	1.93E-07	1.7517766	up
PVRL4	8.33E-08	1.7527266	up
TRIM31	4.14E-05	1.7528186	up
NICN1	9.49E-14	1.753026	up
ALKBH6	4.89E-25	1.7534864	up
SDCCAG3	2.81E-18	1.7540836	up
NOP2	1.36E-16	1.7542048	up
PVRIG	3.53E-05	1.7546158	up
CDH13	5.21E-06	1.7550306	up
ETNK2	3.89E-09	1.7551159	up
ENKD1	5.52E-26	1.7552338	up
TMX3	3.55E-09	1.7564769	up
ESAM	5.03E-12	1.7565	up
EDRF1	5.53E-20	1.7572799	up
SOX7	8.16E-07	1.7572873	up
RAB42	6.15E-08	1.75758	up
TPM4	7.31E-13	1.7576115	up
MNT	5.42E-10	1.7577155	up
FHL2	2.11E-09	1.7579027	up
ZNF266	2.74E-11	1.7579713	up
NOP56	2.64E-20	1.7580246	up
MDC1	3.52E-12	1.7583121	up
POFUT2	7.68E-14	1.7596408	up
FBXO15	2.06E-08	1.7597035	up
UPP1	2.40E-11	1.7606122	up
TCF21	3.05E-09	1.7616168	up
C11orf80	2.59E-22	1.7619214	up
SNRNP70	8.25E-19	1.7628763	up
DUSP22	6.17E-22	1.7637689	up
SGCA	1.93E-06	1.7641944	up
MAFB	1.31E-09	1.7648795	up
STAG3	5.65E-08	1.7655988	up
ITIH5	5.82E-06	1.7661138	up
SHKBP1	1.89E-18	1.7672284	up
CFAP69	2.84E-08	1.7672639	up
SLC2A5	5.89E-06	1.7685962	up
WDR81	4.85E-14	1.7690368	up
MIIP	8.35E-22	1.7693287	up
SOBP	3.30E-10	1.7696096	up
IL15	2.26E-17	1.7702218	up
IDUA	2.24E-14	1.770248	up
PLCXD1	1.07E-07	1.7707503	up
TUBB2A	8.50E-11	1.7721583	up
TMIGD3	3.65E-04	1.7728084	up
TTC14	4.57E-19	1.7736766	up
SHE	1.19E-14	1.7737427	up
STIM2	7.48E-19	1.7741342	up
PPWD1	1.20E-17	1.775053	up
SRGAP2B	3.53E-07	1.7751628	up
OSBPL6	1.21E-07	1.7759227	up
PPP2R3B	4.45E-14	1.7761285	up
CDK5R1	2.29E-04	1.7766705	up
CCDC64	3.41E-13	1.7789456	up
HYPK	8.55E-15	1.7797173	up
LPAR6	3.67E-23	1.7797763	up
C4orf48	1.82E-07	1.7798448	up
PORCN	3.74E-21	1.7800469	up
IQCG	1.13E-16	1.780417	up
RAD9A	6.44E-22	1.7810996	up
TSSK4	8.84E-05	1.7811353	up
CREBZF	2.15E-16	1.7815281	up
ZCCHC11	8.46E-14	1.7816248	up
MRI1	3.11E-12	1.781705	up
PLEKHA4	5.99E-13	1.7821336	up
TNK2	4.63E-12	1.7823102	up
GZMM	5.13E-06	1.782679	up
GADD45B	5.95E-11	1.7827168	up
DNASE1L3	1.76E-07	1.7827619	up
ZDHHC17	6.84E-10	1.783298	up
FBXL2	1.35E-09	1.7836021	up
HSPA12A	1.79E-08	1.7836144	up
AL590235.1	2.21E-05	1.7837481	up
PCSK4	1.32E-06	1.7839216	up
APH1B	5.97E-16	1.7844158	up
CCP110	2.40E-10	1.7853445	up
ABCC10	1.67E-16	1.7862767	up
TRMT1	1.57E-21	1.7872331	up
EXOG	4.93E-13	1.7877045	up
ZMIZ2	6.48E-14	1.7877812	up
TCAF2	2.90E-11	1.7881292	up
RBM5	8.81E-16	1.7883886	up
FHOD1	4.29E-17	1.7885864	up
PTPN6	7.41E-14	1.7893302	up
LBHD1	9.53E-19	1.7896658	up
DGKE	7.82E-10	1.7903334	up
EZH2	2.01E-17	1.7905656	up
WSB1	3.30E-12	1.7909398	up
CCDC66	1.45E-12	1.7924063	up
APOLD1	8.19E-06	1.7924374	up
CENPF	5.56E-09	1.7925552	up
AC234582.1	8.96E-04	1.7926443	up
SPACA4	2.27E-04	1.7935975	up
ZNF275	4.60E-12	1.7941488	up
FRMD6	4.78E-08	1.7941917	up
NPR1	5.07E-09	1.7959216	up
TJAP1	2.69E-19	1.7960607	up
RP11-500M8.7	1.21E-06	1.7963992	up
KANSL1L	5.47E-12	1.7968575	up
PLD2	2.18E-17	1.7968874	up
TMEM217	3.25E-05	1.7986205	up
CTD-2116N17.1	9.51E-08	1.7989233	up
CCBL1	1.05E-13	1.7991834	up
STK11IP	9.29E-15	1.7994046	up
NPL	2.69E-12	1.8000598	up
ATR	5.47E-20	1.8004873	up
TCEAL7	2.06E-12	1.8006904	up
INSIG1	5.26E-08	1.8016188	up
GIMAP1	4.56E-11	1.8020754	up
C21orf58	1.08E-10	1.8027593	up
SENP7	2.90E-10	1.8042505	up
XRCC2	1.97E-08	1.8044717	up
ADRB2	3.10E-14	1.8049358	up
SLC25A22	2.46E-17	1.8050084	up
ODF2L	4.50E-15	1.8052171	up
AKAP12	4.55E-07	1.8053449	up
ZNF671	2.59E-13	1.8063745	up
HSD17B7	2.17E-15	1.8063822	up
ZDHHC11	6.81E-06	1.8069391	up
ERP27	2.97E-05	1.807784	up
CCDC157	2.14E-19	1.808504	up
DFNA5	4.21E-08	1.8093089	up
ERCC6L	1.27E-07	1.8098073	up
CDK10	3.72E-15	1.8107193	up
MAP3K3	4.29E-14	1.8116331	up
CTXN1	6.40E-08	1.8117574	up
TMED7-TICAM2	4.42E-04	1.8118726	up
RCN3	1.17E-09	1.8121598	up
ASPN	1.40E-05	1.8125274	up
FASN	4.54E-08	1.8128115	up
DMPK	1.84E-12	1.8133322	up
EPHB6	5.57E-06	1.8136172	up
RCSD1	1.60E-09	1.8136883	up
TCF7	2.30E-05	1.8137941	up
MZF1	1.51E-12	1.8144416	up
TPM2	5.80E-09	1.8167777	up
LIPM	2.61E-06	1.8171401	up
CD40LG	6.09E-07	1.8173925	up
GTPBP3	7.63E-17	1.817671	up
ATXN2L	2.03E-21	1.8178282	up
RGS11	4.00E-06	1.8181703	up
KPTN	1.09E-22	1.8187212	up
RTN2	8.29E-19	1.8202187	up
ZBTB47	2.81E-12	1.820831	up
IKBKB	2.44E-18	1.821762	up
CD209	2.16E-07	1.8220098	up
CNRIP1	1.36E-17	1.8222085	up
LINC00694	1.15E-04	1.8222417	up
U2AF1L4	5.96E-17	1.8228098	up
CHST10	1.79E-11	1.8236257	up
SEC61A2	1.00E-14	1.8236973	up
AHRR	5.08E-06	1.8251784	up
TOP3B	2.17E-16	1.8252033	up
C5orf34	1.77E-10	1.8256005	up
NDST2	4.03E-20	1.8256502	up
MEF2C	3.42E-07	1.8259252	up
DHRS9	5.48E-08	1.8272697	up
SIT1	6.98E-06	1.8277783	up
LRMP	5.00E-06	1.8280443	up
ABCC5	1.30E-14	1.8290622	up
C17orf53	4.88E-11	1.8294	up
SLC22A17	1.03E-12	1.8299035	up
SLC25A28	3.12E-28	1.8309548	up
RGPD5	2.39E-05	1.8323042	up
PLGLB1	2.78E-10	1.8334855	up
DLL1	7.32E-11	1.8341132	up
MCM10	6.26E-09	1.8355322	up
GPR63	6.25E-08	1.836936	up
TRIP6	2.27E-24	1.8376511	up
MIB2	9.78E-16	1.8381717	up
GPLD1	1.96E-08	1.8400182	up
CORO7	2.47E-21	1.8404119	up
PHF19	3.17E-19	1.8410406	up
IER5L	1.28E-11	1.8429316	up
FAM19A5	9.49E-08	1.8436444	up
KIAA0907	9.30E-15	1.8442119	up
PDZD4	4.97E-08	1.8453355	up
SGCD	1.11E-07	1.8465823	up
SLC7A6	3.68E-12	1.8470554	up
PLCG1	3.33E-11	1.8482375	up
TXNDC15	5.95E-24	1.8491486	up
ZDHHC8	2.40E-16	1.8500385	up
CCDC130	3.42E-25	1.8502254	up
CLCN6	1.11E-12	1.850364	up
FAM24B	4.68E-13	1.850831	up
POLM	4.77E-23	1.8510917	up
SRGAP2C	2.81E-10	1.8516583	up
LILRB5	1.32E-06	1.8517345	up
CCDC28B	4.31E-18	1.8524358	up
COPZ2	2.60E-18	1.8528126	up
PLPP5	6.07E-35	1.8533189	up
ARRB2	3.35E-17	1.8537588	up
SLA2	6.16E-12	1.853807	up
ABCB4	2.84E-05	1.8545806	up
POMT2	6.06E-18	1.8549533	up
LIMS2	6.04E-11	1.855565	up
FAM69B	8.45E-13	1.8566681	up
ABI3BP	1.90E-05	1.8575525	up
ERN1	4.35E-11	1.8577714	up
WASF1	4.19E-14	1.8579133	up
PREX2	1.34E-06	1.857975	up
RP11-314N13.10	8.46E-05	1.8585566	up
MVD	1.18E-12	1.8602973	up
LYNX1	1.87E-07	1.8613607	up
NES	8.60E-09	1.8622459	up
HJURP	9.24E-12	1.8627834	up
AGO4	2.13E-10	1.8632548	up
COL13A1	3.11E-10	1.864111	up
GON4L	2.11E-21	1.8669131	up
NUF2	2.53E-12	1.8678643	up
SCN1B	1.03E-13	1.8680925	up
PKN3	1.37E-16	1.8682998	up
ZNF841	1.18E-11	1.8694304	up
HACD4	8.62E-14	1.8695376	up
FMNL2	1.07E-14	1.8695462	up
IRF3	5.12E-25	1.8697889	up
PHLDB2	1.40E-11	1.8702743	up
RASGEF1A	1.72E-06	1.8711498	up
POPDC2	3.28E-07	1.8715962	up
AHI1	2.98E-14	1.8718044	up
FAM120C	2.97E-18	1.872103	up
ATXN7L2	3.71E-18	1.8721532	up
WNT2B	1.07E-12	1.872742	up
PPM1F	4.01E-15	1.8733101	up
CRTAM	2.07E-06	1.8734016	up
LATS2	1.56E-10	1.8734844	up
ZSWIM8	7.98E-24	1.8750433	up
FAM127C	1.43E-15	1.8757293	up
NXF1	1.36E-24	1.8757685	up
POLR3G	1.38E-13	1.8786719	up
RAB39A	6.31E-06	1.8788308	up
BEGAIN	8.32E-06	1.8797649	up
PCDH12	2.24E-09	1.8800787	up
ADAMTS8	6.85E-06	1.881839	up
AKAP2	6.69E-09	1.8820612	up
ISG15	7.25E-08	1.882468	up
CCSAP	6.52E-16	1.8840432	up
NPHP1	2.93E-13	1.8858188	up
PRR22	6.04E-13	1.886515	up
TTLL4	1.49E-24	1.8867562	up
SPAG5	2.69E-15	1.8876965	up
NAT14	1.54E-19	1.8877335	up
MAPKBP1	2.39E-13	1.8894758	up
ZNF276	4.36E-20	1.8909056	up
RP11-231C14.4	1.24E-10	1.891898	up
SAT1	3.04E-23	1.8925415	up
SLC39A13	2.96E-26	1.8946272	up
ZNF117	1.58E-11	1.8959115	up
PHF11	1.50E-28	1.8973359	up
RAB3IL1	4.14E-15	1.8976729	up
DBF4B	7.65E-14	1.8978229	up
THEM5	4.32E-10	1.8983989	up
DMXL2	8.37E-13	1.8985639	up
SMOC1	1.51E-05	1.8985913	up
NAA16	2.72E-16	1.8987341	up
TRABD	1.15E-32	1.8988737	up
IGFBP6	1.07E-08	1.8992065	up
ZNF546	3.69E-10	1.8999535	up
GPT2	1.83E-09	1.9010363	up
C19orf71	2.49E-10	1.9010853	up
HERPUD1	1.21E-17	1.9010864	up
PHTF1	7.96E-19	1.9021394	up
SIN3B	2.72E-13	1.9030328	up
PRICKLE4	3.03E-16	1.9035923	up
METTL12	1.03E-18	1.9050895	up
SIRPA	1.36E-13	1.9052192	up
SLC8A1	1.74E-05	1.9056325	up
TWIST2	1.85E-10	1.9104006	up
STX1A	2.37E-13	1.910841	up
